100 Largest Cities,Census 2019 Population,Agency,State,ORI,Primary Law Enforcement Agency,UCR Population,Police Shootings Source Data Link(s),Arrests Source,Police Shootings Incidents 2013,Police Shootings Incidents 2014,Police Shootings Incidents 2015,Police Shootings Incidents 2016,Police Shootings Incidents 2017,Police Shootings Incidents 2018,Police Shootings Incidents 2019,Police Shootings Incidents 2020,Total Reported Crimes 2013,Total Reported Crimes 2019,Reported Violent Crimes 2013,Reported Violent Crimes 2019,2013 Violent Crime Arrests,2013 Low Level Arrests,2013 Total Arrests,2019 Violent Crime Arrests,2019 Low Level Arrests,2019 Total Arrests,Change in Police Shootings,Change in Violent Crime Arrests,Change in Low Level Arrests,Change in Arrests,Change in Violent Crime,Change in Crime,2013 Aggravated Assault,2013 All Other Offenses (Except Traffic),2013 Arson,2013 Burglary,2013 Curfew and Loitering Law Violations,2013 Disorderly Conduct,2013 Driving Under the Influence,2013 Drug Abuse Violations - Grand Total,2013 Drunkenness,2013 Embezzlement,2013 Forgery and Counterfeiting,2013 Fraud,2013 Gambling - Total,2013 Human Trafficking - Commercial Sex Acts,2013 Human Trafficking - Involuntary Servitude,2013 Larceny - Theft,2013 Liquor Laws,2013 Manslaughter by Negligence,2013 Motor Vehicle Theft,2013 Murder and Nonnegligent Manslaughter,2013 Offenses Against the Family and Children,2013 Prostitution and Commercialized Vice,2013 Rape,2013 Robbery,"2013 Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",2013 Simple Assault,"2013 Stolen Property: Buying, Receiving, Possessing",2013 Suspicion,2013 Vagrancy,2013 Vandalism,"2013 Weapons: Carrying, Possessing, Etc.",2019 Aggravated Assault,2019 All Other Offenses (Except Traffic),2019 Arson,2019 Burglary,2019 Curfew and Loitering Law Violations,2019 Disorderly Conduct,2019 Driving Under the Influence,2019 Drug Abuse Violations - Grand Total,2019 Drunkenness,2019 Embezzlement,2019 Forgery and Counterfeiting,2019 Fraud,2019 Gambling - Total,2019 Human Trafficking - Commercial Sex Acts,2019 Human Trafficking - Involuntary Servitude,2019 Larceny - Theft,2019 Liquor Laws,2019 Manslaughter by Negligence,2019 Motor Vehicle Theft,2019 Murder and Nonnegligent Manslaughter,2019 Offenses Against the Family and Children,2019 Prostitution and Commercialized Vice,2019 Rape,2019 Robbery,"2019 Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",2019 Simple Assault,"2019 Stolen Property: Buying, Receiving, Possessing",2019 Suspicion,2019 Vagrancy,2019 Vandalism,"2019 Weapons: Carrying, Possessing, Etc."
New York,8419316,NEW YORK,NY,NY0303000,NEW YORK POLICE DEPARTMENT,8523171,"Annual Use of Force/Firearms Discharge Reports 2013-19, Quarterly Use of Force Reports for 2020: https://www1.nyc.gov/site/nypd/stats/reports-analysis/use-of-force.page (adversarial conflict shootings only)",Local Data (Did not report to UCR): https://catalog.data.gov/dataset/nypd-arrests-data-historic,40,35,33,37,23,17,25,29,194367,170121,52384,47821,26917,185352,359714,26380,72310,196357,-38%,-2%,-61%,-45%,-9%,-12%,14629,79807,118,5703,12449,2181,9323,76687,,,5246,4259,801,,,53997,441,13,761,748,2252,3663,736,10804,2828,41285,16515,,,,14468,15208,39740,140,5169,3252,712,5230,21071,,,4799,2538,659,,,36281,542,20,1114,1013,1151,1104,900,9259,4152,32140,2241,,,,7922
Los Angeles,3966936,LOS ANGELES,CA,CA0194200,LOS ANGELES POLICE DEPARTMENT,4029741,"Table on report pg 26: http://assets.lapdonline.org/assets/pdf/2016-use-of-force-year-end-review-small.pdf ; Table on report pg 128: http://lapd-assets.lapdonline.org/assets/pdf/2019_uof_review.pdf; ""There were 27 police shootings last year, compared with 26 in 2019"": https://www.latimes.com/california/story/2021-03-23/lapd-reviewing-striking-cluster-of-five-police-shootings-in-the-last-week",2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),46,30,48,40,44,33,26,27,134266,166786,16524,29400,10231,60925,90436,11324,27379,54060,-43%,11%,-55%,-40%,78%,24%,7957,27974,41,2255,1366,291,8152,11267,8,78,542,272,242,0,0,7089,5402,9,998,123,2,4004,150,2001,986,4145,614,0,404,1815,2249,8829,9933,85,3388,57,90,4850,6828,3,47,181,163,73,0,0,2404,1261,6,1350,121,0,2496,231,2143,662,4692,239,0,88,1700,2140
Chicago,2709534,CHICAGO,IL,ILCPD0000,CHICAGO POLICE DEPARTMENT,2719151,2013-15 hit/no-hit shooting totals on page 29: https://www.chicagocopa.org/wp-content/uploads/2017/10/Q42016_report_20170112_FINAL-1.pdf ; 2016-20 on page 23: https://www.chicagocopa.org/wp-content/uploads/2021/02/2020-COPA-Annual-Report.pdf,"2013-19 UCR Data: 2013 from https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest ; 2019 UCR Arrests Data obtained from agency publication since it was not included on the federal Crime Data Explorer, see data on page 52 of https://home.chicagopolice.org/wp-content/uploads/2020/09/19AR.pdf . Arrests for traffic violations and warrants not included in the 2019 totals, since these categories do not appear to be included in the Chicago arrests data reported to the UCR in previous years.",67,73,50,47,34,31,13,38,123567,106690,25688,25532,6051,70054,112862,3396,34149,65577,-81%,-44%,-51%,-42%,-1%,-14%,2882,14653,50,1782,0,11007,3395,34419,0,0,163,153,2019,0,0,11485,319,9,2481,354,213,1367,349,2466,554,16549,16,0,0,2875,3302,1396,11752,32,699,,3651,2607,13833,,,117,204,375,0,0,6739,49,7,2459,353,164,128,408,1239,404,12232,0,,,1754,4975
Houston,2310432,HOUSTON,TX,TXHPD0000,HOUSTON POLICE DEPARTMENT,2344966,https://www.houstontx.gov/police/ois/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),37,34,32,26,15,18,21,26,168284,171500,20993,25257,3385,59434,85551,9008,20478,37658,-43%,166%,-66%,-56%,20%,2%,1906,23896,29,1114,734,3376,6078,14107,5376,7,603,1538,71,0,0,9163,1851,15,6,106,64,2638,135,1238,402,8429,0,0,232,1075,1362,7619,5594,34,665,0,96,7695,5103,23,1,345,410,22,4,0,3969,49,5,9,93,224,1001,173,1123,2,1042,3,0,0,895,1459
Phoenix,1633017,PHOENIX,AZ,AZ0072300,PHOENIX POLICE DEPARTMENT,1653080,https://opengov.civicdashboards.com/embed/0e2526 ; https://news.vice.com/en_us/article/a3jjpa/nonfatal-police-shootings-data (Standardized Phoenix data: https://docs.google.com/spreadsheets/d/1xDOLPQGzbunjxsSwa1hgRL14vp3cPMeJg26bdMilpes/edit#gid=908715811),2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),31,21,17,25,21,44,15,26,83601,91710,9492,11803,3317,44805,70691,4745,30772,56384,-52%,43%,-31%,-20%,24%,10%,2349,21004,31,1685,159,2016,8892,5986,0,36,541,579,0,0,0,10913,3265,4,614,81,24,519,69,818,526,6313,257,0,45,2919,1046,3511,14711,61,1430,33,1072,3207,8338,0,402,280,858,0,0,0,8705,522,19,325,155,161,187,88,991,499,6477,402,0,296,2406,1248
Philadelphia,1579075,PHILADELPHIA,PA,PAPEP0000,PHILADELPHIA POLICE DEPARTMENT,1586916,https://www.phillypolice.com/ois/,2013-2018 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest) (2018 Arrests Data Used since Agency did not report 2019 Arrests Data),43,29,23,24,14,12,9,8,93881,67061,17074,11397,7950,61624,86253,5766,27298,46301,-79%,-27%,-56%,-46%,-33%,-29%,4450,18426,87,1554,15330,3808,4165,17163,349,164,105,555,81,0,0,6761,481,14,907,208,46,1183,463,2829,318,4605,91,0,217,421,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,1508083,SAN ANTONIO,TX,TXSPD0000,SAN ANTONIO POLICE DEPARTMENT,1539328,2013-15: http://raw.texastribune.org.s3.amazonaws.com/projects/unholstered/TexasTribune_PoliceShootings.zip ; 2016-20: https://texasjusticeinitiative.org/datasets/civilians-shot,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),13,13,13,13,12,13,16,17,109373,101585,8828,11046,1830,31763,58324,1779,27251,39603,23%,-3%,-14%,-32%,25%,-7%,1001,5610,35,973,0,421,8699,13228,1593,0,219,248,4,0,0,7538,76,0,18,57,358,1477,148,624,443,14009,0,0,0,655,890,1156,6111,30,281,0,219,4800,14114,1140,0,28,248,0,0,0,1982,10,0,0,37,305,578,137,449,245,6256,0,0,0,279,1198
San Diego,1409573,SAN DIEGO,CA,CA0371100,SAN DIEGO POLICE DEPARTMENT,1436495,2013-15: https://sandiego.nextrequest.com/requests/16-1657 ; 2016-20: https://openjustice.doj.ca.gov/data,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),9,9,12,6,7,6,7,10,44897,40516,5303,5215,3221,29551,41444,2946,25382,34466,-22%,-9%,-14%,-17%,-2%,-10%,2599,13986,40,1346,911,90,2896,6995,2684,3,89,238,2,0,0,2271,389,3,333,40,2,531,67,515,247,3171,254,0,534,533,675,2446,11470,36,393,144,96,1512,6522,3392,3,46,92,10,0,0,1520,166,1,288,18,2,146,60,422,221,2702,153,0,1451,473,681
Dallas,1330612,DALLAS,TX,TXDPD0000,DALLAS POLICE DEPARTMENT,1362465,https://dallaspolice.net/ois/ois,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),22,20,11,13,7,4,11,5,79025,76572,8330,11764,1878,33239,46332,1886,22376,32496,-50%,0%,-33%,-30%,41%,-3%,1284,14365,4,616,10,665,1930,5534,9253,2,237,139,2,0,0,4248,8,6,280,5,113,1281,86,503,179,4530,32,0,1,190,829,1202,11865,11,290,0,141,1447,3388,4677,24,115,222,0,15,1,1257,0,0,504,106,104,694,157,421,28,4999,0,0,0,164,664
San Jose,1027690,SAN JOSE,CA,CA0431300,SAN JOSE POLICE DEPARTMENT,1047305,2013-16 data on Page 42: https://www.sanjoseca.gov/Home/ShowDocument?id=10721 ; 2017-19 data: https://www.sanjoseca.gov/home/showpublisheddocument?id=64206 ; 5 shootings incidents in 2020: https://openjustice.doj.ca.gov/data,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),6,4,12,5,8,6,4,5,33354,36710,3215,4559,1910,10372,17994,2575,8465,14861,-33%,35%,-18%,-17%,42%,10%,1535,3382,19,576,2,264,1107,3637,1183,15,71,99,0,0,0,1755,132,3,489,40,2,342,41,294,305,1530,225,0,13,310,623,2024,4254,39,420,3,35,698,2438,308,19,67,120,7,0,0,453,11,7,451,41,7,479,76,434,241,1299,136,0,16,216,562
Austin,950807,AUSTIN,TX,TX2270100,AUSTIN POLICE DEPARTMENT,973344,2013-15: https://data.austintexas.gov/w/8mvp-v9jz/7r79-5ncn?cur=01c_asb4AMJ ; 2016-20: https://texasjusticeinitiative.org/datasets/civilians-shot,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),9,4,7,8,9,11,5,1,57681,56770,3123,3953,1051,26673,37024,1556,14957,24350,-44%,48%,-44%,-34%,27%,-2%,830,10514,24,580,348,101,6338,4846,3974,0,121,228,6,0,0,3532,98,0,6,25,9,250,0,196,171,4210,15,0,2,196,404,1080,5457,28,424,0,385,3670,3783,1145,0,90,231,5,0,0,2544,224,1,653,25,23,26,70,381,28,3275,6,0,2,260,534
