City,State,City Population (2018 ACS Estimates),Police Shootings Incidents 2013,Police Shootings Incidents 2014,Police Shootings Incidents 2015,Police Shootings Incidents 2016,Police Shootings Incidents 2017,Police Shootings Incidents 2018,Police Shootings Incidents 2019,"% Change in Police Shootings, 2019 vs 2013",Arrest Totals for 2018,Arrest Totals for 2017,Arrest Totals for 2016,Arrest Totals for 2015,Arrest Totals for 2014,Arrest Totals for 2013,"Change in Arrest Totals, 2018 vs 2013","% Change in Arrests, 2018 vs 2013","Police Shootings Source Data Link(s) *Methodological Note: A police shootings ""incident"" can involve more than one person being shot. As such, cases where a department shot more than one person in the same incident were counted as a single incident for the purpose of analysis.)",Arrests Data Source
Austin,Texas,"964,254",9,4,7,8,9,11,5,-44%,24359,28485,30687,33101,36524,37024,-12665,-34%,https://catalog.data.gov/organization/09785891-8fd1-4dc6-93f4-b51803433433?tags=police ; https://oagtx.force.com/oisreports/apex/OISReportsPage,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Baltimore,Maryland,"602,495",12,12,14,13,10,6,6,-50%,25567,29044,29661,32939,46232,47560,-21993,-46%,https://www.projectcomport.org/department/BPD/officerinvolvedshootings/,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Boston,Massachusetts,"694,583",,,,,,,,,8843,9994,10247,11423,13647,12716,-3873,-30%,Data unavailable,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Charlotte,North Carolina,"872,498",5,7,5,12,5,5,5,0%,22021,23632,23740,25305,23669,19087,2934,15%,https://data.charlottenc.gov/datasets/cmpd-officer-involved-shootings-incidents-1/data?orderBy=YEAR_MONTH&orderByAsc=false,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Chicago,Illinois,"2,705,994",68,72,65,64,45,43,32,-53%,78737,57523,61507,84215,100346,112862,-34125,-30%,https://home.chicagopolice.org/statistics-data/data-dashboards/use-of-force-dashboard/ ; https://news.vice.com/en_us/article/a3jjpa/nonfatal-police-shootings-data,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Columbus,Ohio,"892,533",22,9,16,15,14,16,,,10954,9412,10092,9942,8663,12745,-1791,-14%,https://www.columbus.gov/WorkArea/DownloadAsset.aspx?id=2147510958 ; https://www.columbus.gov/WorkArea/DownloadAsset.aspx?id=84544,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Dallas,Texas,"1,345,047",22,20,11,13,7,4,4,-82%,29772,31372,34498,26666,33225,46332,-16560,-36%,https://dallaspolice.net/ois/ois,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Denver,Colorado,"716,492",9,7,10,11,7,7,4,-56%,29520,29372,29993,30118,29752,22343,7177,32%,https://www.denvergov.org/opendata/dataset/city-and-county-of-denver-denver-police-officer-involved-shootings,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Detroit,Michigan,"672,662",,,,,,,,,10734,9701,10883,10849,13383,14737,-4003,-27%,Data unavailable,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
El Paso,Texas,"682,669",3,1,5,3,2,2,5,67%,16264,16838,16874,18192,19539,20469,-4205,-21%,2010-16 data: https://docs.google.com/spreadsheets/d/10HZbxtwHd6TQYfhVKpO_ZRFZCBWeb1HMslN-9S-ij2A/edit#gid=255677024 ; 2016-19 data: https://texasjusticeinitiative.org/data/,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
